# Callsign Distribution...
# Total Calls      6342 (100.0%)
# Local...         2883 ( 45.5%)
#  - USA           2607 ( 41.1%)
#  - Canada         206 (  3.2%)
#  - Mexico          47 (  0.7%)
#  - Alaska          13 (  0.2%)
#  - Hawaii          10 (  0.2%)
# DX...            3459 ( 54.5%)
#  - N. America      67 (  1.1%)
#  - S. America     380 (  6.0%)
#  - Europe        2100 ( 33.1%)
#  - Asia           706 ( 11.1%)
#  - Africa          43 (  0.7%)
#  - Oceania        132 (  2.1%)
#  - Maritime        31 (  0.5%)

cabrillo_id	year	call	host	cat	section	dxcc	score	qso	mult	late_log_flag	club	minutes_on	ops
ARRL-10	2025	9A9R	9A9R	SOU-MIX-LP		9A	273642	463	177	0		1117	9A9R
ARRL-10	2025	9H1PI	9H1PI	SOU-CW-LP		9H	78100	279	71	0		479	9H1PI
ARRL-10	2025	9H5SN	9H5SN	SO-PH-LP		9H	13892	152	46	0		211	9H5SN
ARRL-10	2025	9H6A	9H6A	SOU-CW-HP		9H	116640	414	72	0		524	9H1XT
ARRL-10	2025	9J2FI	9J2FI	SOU-MIX-LP		9J	1245680	1683	230	0		1118	DL2RMC
ARRL-10	2025	9K2ES	9K2ES	SOU-PH-LP		9K	81168	543	76	0		412	9K2ES
ARRL-10	2025	9M6IZZ	9M6IZZ	SO-PH-LP		9M6	2808	123	12	0		302	9M6IZZ
ARRL-10	2025	9M6MUL	9M6MUL	SO-PH-LP		9M6	18	3	3	0		6	9M6MUL
ARRL-10	2025	9V1YC	9V1YC	SO-CW-HP		9V	27360	232	30	0		219	9V1YC
ARRL-10	2025	9W6WOT	9W6WOT	SO-PH-LP		9M6	12	3	2	0		19	9W6WOT
ARRL-10	2025	9Z4BM	9Z4BM	SOU-MIX-HP		9Y	1969810	2252	281	0		1610	N2TTA
ARRL-10	2025	9Z4CT	9Z4CT	SO-PH-LP		9Y	118972	628	98	0		1125	9Z4CT
ARRL-10	2025	A61QQ	A61QQ	SO-PH-HP		A6	65780	511	65	0		438	A61QQ
ARRL-10	2025	A65D	A65D	SOU-MIX-LP		A6	1560	23	20	0		92	A65D
ARRL-10	2025	A71MM	A71MM	SO-PH-HP		A7	50020	421	61	0		317	A71MM
ARRL-10	2025	AA0AW	AA0AW	SOU-MIX-LP	MN		101606	288	101	0	Minnesota Wireless Assn	505	AA0AW
ARRL-10	2025	AA0F	AA0F	SOU-PH-LP	STX		98304	520	96	0		917	AA0F
ARRL-10	2025	AA0FO	AA0FO	SOU-CW-HP	KS		94472	248	98	0	Kansas City Contest Club	238	AA0FO
ARRL-10	2025	AA0O	AA0O	SOU-CW-LP	WCF		1368	19	18	0	Florida Contest Group	42	AA0O
ARRL-10	2025	AA1AC	AA1AC	SOU-MIX-LP	RI		81576	222	103	0	CTRI Contest Group	478	AA1AC
ARRL-10	2025	AA1BA	AA1BA	SOU-CW-LP	EMA		21528	122	46	0		761	AA1BA
ARRL-10	2025	AA1CX	AA1CX	SO-CW-LP	ME		25000	125	50	0		314	AA1CX
ARRL-10	2025	AA1GM	AA1GM	SO-PH-LP	NH		1428	34	21	0		127	AA1GM
ARRL-10	2025	AA1K	AA1K	SOU-CW-HP	DE		360640	650	140	0	Frankford Radio Club	595	AA1K
ARRL-10	2025	AA1N	AA1N	SOU-MIX-LP	EMA		6992	58	46	0		205	AA1N
ARRL-10	2025	AA1NK	AA1NK	SOU-CW-LP	EMA		79048	250	82	0		1015	AA1NK
ARRL-10	2025	AA1ON	AA1ON	SOU-CW-HP	EMA		587808	956	156	0	Yankee Clipper Contest Club	1061	AA1ON
ARRL-10	2025	AA1SU	AA1SU	SOU-PH-HP	VT		43632	305	72	0	Radio Amateurs of Northern Vermont	480	AA1SU
ARRL-10	2025	AA1VV	AA1VV	SO-PH-LP	RI		2408	44	28	0		189	AA1VV
ARRL-10	2025	AA2A	AA2A	SOU-CW-QRP	WMA		189992	381	127	0	Yankee Clipper Contest Club	1447	N2KW
ARRL-10	2025	AA2AD	AA2AD	SO-CW-QRP	WPA		884	19	13	0		40	AA2AD
ARRL-10	2025	AA2TH	AA2TH	SO-CW-LP	NLI		4144	38	28	0		231	AA2TH
ARRL-10	2025	AA3B	AA3B	SOU-CW-HP	EPA		912912	1465	156	0	Frankford Radio Club	786	AA3B
ARRL-10	2025	AA3HD	AA3HD	SO-PH-HP	ME		38760	287	68	0		857	AA3HD
ARRL-10	2025	AA3MR	AA3MR	SOU-MIX-LP	WPA		1984	33	32	0		121	AA3MR
ARRL-10	2025	AA3R	AA3R	SOU-MIX-HP	SNJ		122584	297	154	0	Frankford Radio Club	320	AA3R
ARRL-10	2025	AA3S	AA3S	SOU-MIX-HP	MDC		409508	522	227	0	Potomac Valley Radio Club	649	AA3S
ARRL-10	2025	AA4CF	AA4CF	SOU-MIX-HP	GA		228984	380	174	0	South East Contest Club	638	AA4CF
ARRL-10	2025	AA4DD	AA4DD	SOU-CW-HP	TN		60088	203	74	0	Bristol (TN) ARC	580	AA4DD
ARRL-10	2025	AA4HG	AA4HG	SO-CW-LP	GA		4576	47	26	0		176	AA4HG
ARRL-10	2025	AA4NC	AA4NC	SO-MIX-HP	NC		1687934	2059	263	0	Potomac Valley Radio Club	1565	N4YDU
ARRL-10	2025	AA4NO	AA4NO	SOU-CW-LP	NC		42344	160	67	0		523	AA4NO
ARRL-10	2025	AA4NP	AA4NP	SOU-CW-LP	SFL		42912	152	72	0	Florida Contest Group	242	AA4NP
ARRL-10	2025	AA4NU	AA4NU	SO-CW-HP	TN		4368	56	21	0	Tennessee Contest Group	82	AA4NU
ARRL-10	2025	AA4TI	AA4TI	SO-CW-HP	WCF		16168	91	47	0	Florida Contest Group	158	AA4TI
ARRL-10	2025	AA5AH	AA5AH	SO-PH-LP	NTX		1680	39	24	0		155	AA5AH
ARRL-10	2025	AA5AU	AA5AU	SO-CW-HP	LA		36192	177	52	0	Louisiana Contest Club	248	AA5AU
ARRL-10	2025	AA5JF	AA5JF	SOU-MIX-HP	GA		36288	130	72	0	Swamp Fox Contest Group	242	AA5JF
